Model,Accuracy,F1 Score
Logistic Regression,0.7988826815642458,0.7534246575342466
Random Forest,0.776536312849162,0.7368421052631579
SVM,0.8044692737430168,0.7368421052631579
KNN,0.776536312849162,0.7333333333333333
Decision Tree,0.7988826815642458,0.7272727272727273
Naive Bayes,0.7653631284916201,0.7236842105263158
